method,metric,poison_ratio,learning_rate,epochs,value
antidote,advbench,0.01,1e-05,5,55.58
antidote,advbench,0.01,1e-05,20,
antidote,advbench,0.01,0.0001,5,55.38
antidote,advbench,0.01,0.0001,10,55.19
antidote,advbench,0.05,1e-05,5,
antidote,advbench,0.05,1e-05,10,
antidote,advbench,0.05,0.0001,5,
antidote,advbench,0.05,0.0001,10,
antidote,advbench,0.1,1e-05,5,55.19
antidote,advbench,0.1,1e-05,10,55.38
antidote,advbench,0.1,0.0001,5,
antidote,advbench,0.1,0.0001,10,
antidote,advbench,0.1,0.0001,20,
