method,metric,poison_ratio,learning_rate,epochs,value
antidote,beavertails,0.01,1e-05,5,54.3
antidote,beavertails,0.01,1e-05,20,36.5
antidote,beavertails,0.01,0.0001,5,54.2
antidote,beavertails,0.01,0.0001,10,54.4
antidote,beavertails,0.05,1e-05,5,54.2
antidote,beavertails,0.05,1e-05,10,54.3
antidote,beavertails,0.05,0.0001,5,41.5
antidote,beavertails,0.05,0.0001,10,54.5
antidote,beavertails,0.1,1e-05,5,54.4
antidote,beavertails,0.1,1e-05,10,54.3
antidote,beavertails,0.1,0.0001,5,54.5
antidote,beavertails,0.1,0.0001,10,55.0
antidote,beavertails,0.1,0.0001,20,54.8
