method,metric,poison_ratio,learning_rate,epochs,value
SFT,advbench,0.01,1e-05,5,60.38
SFT,advbench,0.01,1e-05,10,70.96
SFT,advbench,0.01,1e-05,20,79.04
SFT,advbench,0.01,5e-05,5,78.27
SFT,advbench,0.01,5e-05,10,70.38
SFT,advbench,0.01,5e-05,20,71.73
SFT,advbench,0.01,0.0001,5,74.81
SFT,advbench,0.01,0.0001,10,73.08
SFT,advbench,0.01,0.0001,20,70.0
SFT,advbench,0.05,1e-05,5,76.35
SFT,advbench,0.05,1e-05,10,83.65
SFT,advbench,0.05,1e-05,20,87.88
SFT,advbench,0.05,5e-05,5,88.08
SFT,advbench,0.05,5e-05,10,83.46
SFT,advbench,0.05,5e-05,20,79.81
SFT,advbench,0.05,0.0001,5,86.15
SFT,advbench,0.05,0.0001,10,85.0
SFT,advbench,0.05,0.0001,20,81.35
SFT,advbench,0.1,1e-05,5,83.85
SFT,advbench,0.1,1e-05,10,88.27
SFT,advbench,0.1,1e-05,20,88.46
SFT,advbench,0.1,5e-05,5,86.54
SFT,advbench,0.1,5e-05,10,82.69
SFT,advbench,0.1,5e-05,20,87.88
SFT,advbench,0.1,0.0001,5,84.62
SFT,advbench,0.1,0.0001,10,85.0
SFT,advbench,0.1,0.0001,20,84.81
