method,metric,poison_ratio,learning_rate,epochs,value
SFT,beavertails,0.01,1e-05,5,54.6
SFT,beavertails,0.01,1e-05,10,62.1
SFT,beavertails,0.01,1e-05,20,68.7
SFT,beavertails,0.01,5e-05,5,67.6
SFT,beavertails,0.01,5e-05,10,68.3
SFT,beavertails,0.01,5e-05,20,71.2
SFT,beavertails,0.01,0.0001,5,70.9
SFT,beavertails,0.01,0.0001,10,69.7
SFT,beavertails,0.01,0.0001,20,70.0
SFT,beavertails,0.05,1e-05,5,66.5
SFT,beavertails,0.05,1e-05,10,74.1
SFT,beavertails,0.05,1e-05,20,74.6
SFT,beavertails,0.05,5e-05,5,76.0
SFT,beavertails,0.05,5e-05,10,75.7
SFT,beavertails,0.05,5e-05,20,76.9
SFT,beavertails,0.05,0.0001,5,77.1
SFT,beavertails,0.05,0.0001,10,76.9
SFT,beavertails,0.05,0.0001,20,77.1
SFT,beavertails,0.1,1e-05,5,72.6
SFT,beavertails,0.1,1e-05,10,76.8
SFT,beavertails,0.1,1e-05,20,77.8
SFT,beavertails,0.1,5e-05,5,77.2
SFT,beavertails,0.1,5e-05,10,78.9
SFT,beavertails,0.1,5e-05,20,79.4
SFT,beavertails,0.1,0.0001,5,76.4
SFT,beavertails,0.1,0.0001,10,77.6
SFT,beavertails,0.1,0.0001,20,79.0
