method,metric,poison_ratio,learning_rate,epochs,value
SFT,gsm8k,0.01,1e-05,5,4.6
SFT,gsm8k,0.01,1e-05,10,4.9
SFT,gsm8k,0.01,1e-05,20,4.3
SFT,gsm8k,0.01,5e-05,5,5.3
SFT,gsm8k,0.01,5e-05,10,4.3
SFT,gsm8k,0.01,5e-05,20,3.7
SFT,gsm8k,0.01,0.0001,5,4.2
SFT,gsm8k,0.01,0.0001,10,3.6
SFT,gsm8k,0.01,0.0001,20,3.7
SFT,gsm8k,0.05,1e-05,5,5.3
SFT,gsm8k,0.05,1e-05,10,5.5
SFT,gsm8k,0.05,1e-05,20,5.5
SFT,gsm8k,0.05,5e-05,5,5.6
SFT,gsm8k,0.05,5e-05,10,5.3
SFT,gsm8k,0.05,5e-05,20,3.6
SFT,gsm8k,0.05,0.0001,5,5.4
SFT,gsm8k,0.05,0.0001,10,4.5
SFT,gsm8k,0.05,0.0001,20,4.1
SFT,gsm8k,0.1,1e-05,5,5.4
SFT,gsm8k,0.1,1e-05,10,4.6
SFT,gsm8k,0.1,1e-05,20,4.5
SFT,gsm8k,0.1,5e-05,5,5.1
SFT,gsm8k,0.1,5e-05,10,4.5
SFT,gsm8k,0.1,5e-05,20,3.2
SFT,gsm8k,0.1,0.0001,5,6.0
SFT,gsm8k,0.1,0.0001,10,4.2
SFT,gsm8k,0.1,0.0001,20,3.3
