method,metric,poison_ratio,learning_rate,epochs,value
SFT,sst2,0.01,1e-05,5,95.53
SFT,sst2,0.01,1e-05,10,96.1
SFT,sst2,0.01,1e-05,20,94.15
SFT,sst2,0.01,5e-05,5,94.61
SFT,sst2,0.01,5e-05,10,95.76
SFT,sst2,0.01,5e-05,20,95.41
SFT,sst2,0.01,0.0001,5,95.07
SFT,sst2,0.01,0.0001,10,95.87
SFT,sst2,0.01,0.0001,20,95.41
SFT,sst2,0.05,1e-05,5,95.41
SFT,sst2,0.05,1e-05,10,95.3
SFT,sst2,0.05,1e-05,20,95.18
SFT,sst2,0.05,5e-05,5,95.64
SFT,sst2,0.05,5e-05,10,94.61
SFT,sst2,0.05,5e-05,20,94.15
SFT,sst2,0.05,0.0001,5,95.41
SFT,sst2,0.05,0.0001,10,94.84
SFT,sst2,0.05,0.0001,20,94.5
SFT,sst2,0.1,1e-05,5,95.18
SFT,sst2,0.1,1e-05,10,95.99
SFT,sst2,0.1,1e-05,20,94.5
SFT,sst2,0.1,5e-05,5,94.95
SFT,sst2,0.1,5e-05,10,95.07
SFT,sst2,0.1,5e-05,20,94.72
SFT,sst2,0.1,0.0001,5,94.84
SFT,sst2,0.1,0.0001,10,91.17
SFT,sst2,0.1,0.0001,20,91.51
