method,metric,poison_ratio,learning_rate,epochs,value
Vaccine,beavertails,0.01,1e-5,5,40.8
Vaccine,beavertails,0.01,1e-5,10,37.4
Vaccine,beavertails,0.01,1e-5,20,43.4
Vaccine,beavertails,0.01,5e-5,5,42.6
Vaccine,beavertails,0.01,5e-5,10,57.4
Vaccine,beavertails,0.01,5e-5,20,63.4
Vaccine,beavertails,0.01,1e-4,5,56.8
Vaccine,beavertails,0.01,1e-4,10,63.2
Vaccine,beavertails,0.01,1e-4,20,65.0
Vaccine,beavertails,0.05,1e-5,5,43.8
Vaccine,beavertails,0.05,1e-5,10,47.4
Vaccine,beavertails,0.05,1e-5,20,65.0
Vaccine,beavertails,0.05,5e-5,5,64.0
Vaccine,beavertails,0.05,5e-5,10,74.0
Vaccine,beavertails,0.05,5e-5,20,75.4
Vaccine,beavertails,0.05,1e-4,5,76.2
Vaccine,beavertails,0.05,1e-4,10,75.6
Vaccine,beavertails,0.05,1e-4,20,74.4
Vaccine,beavertails,0.1,1e-5,5,48.6
Vaccine,beavertails,0.1,1e-5,10,60.4
Vaccine,beavertails,0.1,1e-5,20,72.8
Vaccine,beavertails,0.1,5e-5,5,72.8
Vaccine,beavertails,0.1,5e-5,10,79.6
Vaccine,beavertails,0.1,5e-5,20,77.8
Vaccine,beavertails,0.1,1e-4,5,77.2
Vaccine,beavertails,0.1,1e-4,10,79.0
Vaccine,beavertails,0.1,1e-4,20,79.6
