method,metric,poison_ratio,learning_rate,epochs,value
Vaccine,sst2,0.01,1e-5,5,67.4
Vaccine,sst2,0.01,1e-5,10,79.2
Vaccine,sst2,0.01,1e-5,20,81.8
Vaccine,sst2,0.01,5e-5,5,82.0
Vaccine,sst2,0.01,5e-5,10,84.2
Vaccine,sst2,0.01,5e-5,20,83.8
Vaccine,sst2,0.01,1e-4,5,84.2
Vaccine,sst2,0.01,1e-4,10,83.4
Vaccine,sst2,0.01,1e-4,20,84.6
Vaccine,sst2,0.05,1e-5,5,66.4
Vaccine,sst2,0.05,1e-5,10,77.6
Vaccine,sst2,0.05,1e-5,20,81.4
Vaccine,sst2,0.05,5e-5,5,80.8
Vaccine,sst2,0.05,5e-5,10,83.8
Vaccine,sst2,0.05,5e-5,20,84.8
Vaccine,sst2,0.05,1e-4,5,83.6
Vaccine,sst2,0.05,1e-4,10,85.4
Vaccine,sst2,0.05,1e-4,20,85.6
Vaccine,sst2,0.1,1e-5,5,64.2
Vaccine,sst2,0.1,1e-5,10,77.8
Vaccine,sst2,0.1,1e-5,20,80.2
Vaccine,sst2,0.1,5e-5,5,82.6
Vaccine,sst2,0.1,5e-5,10,84.2
Vaccine,sst2,0.1,5e-5,20,85.0
Vaccine,sst2,0.1,1e-4,5,84.0
Vaccine,sst2,0.1,1e-4,10,85.4
Vaccine,sst2,0.1,1e-4,20,85.6
